0000 - *CLS             *CLS          :*CLS
00F7 - AUTO             AUTO          [:SENSe]:ZERO:AUTO
00F8 - AUTO?            AUTO?         [:SENSe]:ZERO:AUTO?
00F9 - TIMer?           TIM?          :SAMPle:TIMer?
00FA - TIMer            TIM           :SAMPle:TIMer
00FB - COUNt            COUN          :SAMPle:COUNt
00FC - COUNt?           COUN?         :SAMPle:COUNt?
00FD - STATe?           STAT?         :SYSTem:BEEPer:STATe?
00FE - STATe            STAT          :SYSTem:BEEPer:STATe
00FF - IMMediate        IMM           :SYSTem:BEEPer[:IMMediate]
0100 - ENABle?          ENAB?         :SYSTem:COMMunicate:ENABle?
0101 - ENABle           ENAB          :SYSTem:COMMunicate:ENABle
0102 - ADDRess?         ADDR?         :SYSTem:COMMunicate:GPIB[:SELF]:ADDRess?
0103 - ADDRess          ADDR          :SYSTem:COMMunicate:GPIB[:SELF]:ADDRess
0104 - BSTatus?         BST?          :SYSTem:COMMunicate:LAN:BSTatus?
0105 - CONTrol?         CONT?         :SYSTem:COMMunicate:LAN:CONTrol?
0106 - DDNS?            DDNS?         :SYSTem:COMMunicate:LAN:DDNS?
0107 - DDNS             DDNS          :SYSTem:COMMunicate:LAN:DDNS
0108 - DHCP?            DHCP?         :SYSTem:COMMunicate:LAN:DHCP?
0109 - DHCP             DHCP          :SYSTem:COMMunicate:LAN:DHCP
010A - DNS?             DNS?          :SYSTem:COMMunicate:LAN:DNS?
010B - DNS              DNS           :SYSTem:COMMunicate:LAN:DNS
010C - DOMain?          DOM?          :SYSTem:COMMunicate:LAN:DOMain?
010D - DOMain           DOM           :SYSTem:COMMunicate:LAN:DOMain
010E - GATEway?         GATE?         :SYSTem:COMMunicate:LAN:GATEway?
010F - GATEway          GATE          :SYSTem:COMMunicate:LAN:GATEway
0110 - HOSTname?        HOST?         :SYSTem:COMMunicate:LAN:HOSTname?
0111 - HOSTname         HOST          :SYSTem:COMMunicate:LAN:HOSTname
0112 - IPADdress?       IPAD?         :SYSTem:COMMunicate:LAN:IPADdress?
0113 - IPADdress        IPAD          :SYSTem:COMMunicate:LAN:IPADdress
0114 - MAC?             MAC?          :SYSTem:COMMunicate:LAN:MAC?
0115 - SMASk?           SMAS?         :SYSTem:COMMunicate:LAN:SMASk?
0116 - SMASk            SMAS          :SYSTem:COMMunicate:LAN:SMASk
0117 - VERSion?         VERS?         :SYSTem:VERSion?
0118 - ERRor?           ERR?          :SYSTem:ERRor?
0119 - COUNt?           COUN?         :TRIGger:COUNt?
011A - COUNt            COUN          :TRIGger:COUNt
011B - DELay?           DEL?          :TRIGger:DELay?
011C - DELay            DEL           :TRIGger:DELay
011D - AUTO?            AUTO?         :TRIGger:DELay:AUTO?
011E - AUTO             AUTO          :TRIGger:DELay:AUTO
011F - SLOPe?           SLOP?         :TRIGger:SLOPe?
0120 - SLOPe            SLOP          :TRIGger:SLOPe
0121 - SOURce?          SOUR?         :TRIGger:SOURce?
0122 - SOURce           SOUR          :TRIGger:SOURce
0123 - POINt            POIN          :ANYSensor:POINt
0124 - DELete           DEL           :ANYSensor:POINt:DELete
