nohup: ignoring input
Panel curve /home/ian/src/embedded-mcp/Logs/bench/panel-iv-2026-08-24_145423.json: Voc 7.711 V, Isc 0.1935 A, MPP 1.0981 W @ 6.249 V / 0.1757 A (140 points) -- CH1 follows this curve (alpha 0.4, tick 0.0 s)
DMM: Keysight Technologies,34461A,MY53222530,A.02.14-02.40-02.14-00.49-01-01
Resting V_bat: 3.3160 V
CH2 series ammeter: 0.000 V source, range 3.0 A, compliance +/-3.0 A | CH1 solar: curve follower from Voc 7.711 V, +0.2128/-0.01 A
CH1 on: 7.7127 V (set 7.7114 V; sag under load is panel behavior)
waiting 3.0 s for the board to boot from solar...
CH2 on: 0.0 V across the ammeter (0 near-zero = healthy loop; boot-loop transients are expected and bounded by compliance)
========================================================================
FIRST SAMPLE: i_chg = +0.3196 A (i2_raw +0.3196 A, --sign +1) -- if this is negative while the battery is charging, rerun with --sign -1
========================================================================
[1:34:58] #2850 V_bat=3.4007 V i_chg=+0.2776 A P_in=1.090 W Ah=0.4399 Wh=1.4907 eff=86.6% flags=-
[1:35:58] #2880 V_bat=3.4012 V i_chg=+0.2776 A P_in=1.090 W Ah=0.4445 Wh=1.5064 eff=86.6% flags=-
[1:36:58] #2910 V_bat=3.4017 V i_chg=+0.2775 A P_in=1.090 W Ah=0.4492 Wh=1.5222 eff=86.6% flags=-
[1:37:58] #2940 V_bat=3.4022 V i_chg=+0.2775 A P_in=1.090 W Ah=0.4538 Wh=1.5379 eff=86.6% flags=-
[1:38:58] #2970 V_bat=3.4028 V i_chg=+0.2774 A P_in=1.090 W Ah=0.4584 Wh=1.5536 eff=86.6% flags=-
[1:39:58] #3000 V_bat=3.4033 V i_chg=+0.2774 A P_in=1.090 W Ah=0.4630 Wh=1.5694 eff=86.6% flags=-
[1:40:58] #3030 V_bat=3.4039 V i_chg=+0.2774 A P_in=1.091 W Ah=0.4677 Wh=1.5851 eff=86.6% flags=-
[1:41:58] #3060 V_bat=3.4045 V i_chg=+0.2773 A P_in=1.090 W Ah=0.4723 Wh=1.6009 eff=86.6% flags=-
[1:42:58] #3090 V_bat=3.4051 V i_chg=+0.2773 A P_in=1.090 W Ah=0.4769 Wh=1.6166 eff=86.6% flags=-
[1:43:58] #3120 V_bat=3.4057 V i_chg=+0.2773 A P_in=1.090 W Ah=0.4815 Wh=1.6323 eff=86.6% flags=-
[1:44:58] #3150 V_bat=3.4063 V i_chg=+0.2772 A P_in=1.090 W Ah=0.4861 Wh=1.6481 eff=86.6% flags=-
[1:45:58] #3180 V_bat=3.4069 V i_chg=+0.2772 A P_in=1.091 W Ah=0.4908 Wh=1.6638 eff=86.6% flags=-
[1:46:58] #3210 V_bat=3.4075 V i_chg=+0.2772 A P_in=1.090 W Ah=0.4954 Wh=1.6795 eff=86.6% flags=-
